Mode,Line,New Mode,Matcher
Start,Feature,COS,FEATURE
Start,Space,Start,BLANK
Start,Comment,Start,COMMENT
Start,Tag,Start,TAGS
COS,Background,General,BACKGROUND
COS,Scenario,General,SCENARIO
COS,Tag,General,TAGS
COS,Comment,COS,COMMENT
COS,Space,COS,BLANK
COS,COS,COS,ANY
General,Tag,General,TAGS
General,Scenario,General,SCENARIO
General,Background,General,BACKGROUND
General,Step,General,STEP
General,Examples,General,EXAMPLES
General,Table,General,TABLE
General,Comment,General,COMMENT
General,Space,General,BLANK
General,PyMark,PyString,PYMARK
PyString,PyMark,General,PYMARK
PyString,Quoted,PyString,ANY
